World Rank,Institution,Location,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
1,Harvard University,USA,1,1,1,1,1,100
2,Massachusetts Institute of Technology,USA,2,4,12,2,7,96.7
3,Stanford University,USA,3,11,4,3,2,95.1
4,University of Cambridge,United Kingdom,1,3,25,4,10,94.1
5,University of Oxford,United Kingdom,2,7,27,9,4,93.3
6,Princeton University,USA,4,5,15,6,79,92.6
7,University of Chicago,USA,5,8,16,21,22,92
8,Columbia University,USA,6,12,14,10,14,91.5
9,University of Pennsylvania,USA,7,14,8,41,11,91.1
10,California Institute of Technology,USA,8,2,104,7,80,90.7
11,Yale University,USA,9,6,36,12,20,90.4
12,"University of California, Berkeley",USA,10,9,59,5,16,90.1
13,University of Tokyo,Japan,1,37,6,112,29,89.8
14,Cornell University,USA,11,16,28,18,24,89.5
15,"University of Michigan, Ann Arbor",USA,12,29,40,59,6,89.2
16,Johns Hopkins University,USA,13,24,192,23,8,89
17,Northwestern University,USA,14,138,17,47,31,88.8
18,"University of California, Los Angeles",USA,15,42,63,17,15,88.6
19,PSL University,France,1,17,30,107,86,88.4
20,Duke University,USA,16,50,48,19,25,88.2
21,University College London,United Kingdom,3,33,660,15,5,88
22,University of Illinois at Urbana–Champaign,USA,17,18,139,11,73,87.8
23,New York University,USA,18,36,43,43,46,87.6
24,University of Toronto,Canada,1,207,159,22,3,87.5
25,University of Washington,USA,19,71,231,25,9,87.3
26,Kyoto University,Japan,2,38,33,64,75,87.2
27,University of Wisconsin–Madison,USA,20,34,100,30,35,87
28,McGill University,Canada,2,25,103,44,45,86.9
29,ETH Zurich,Switzerland,1,60,89,24,42,86.8
30,Imperial College London,United Kingdom,4,69,117,53,17,86.6
31,Seoul National University,South Korea,1,336,22,150,57,86.5
32,Paris-Saclay University,France,2,172,136,45,13,86.4
33,University of Texas at Austin,USA,21,86,64,16,58,86.3
34,"University of California, San Diego",USA,22,118,1620,13,19,86.1
35,"University of California, San Francisco",USA,23,-,1498,14,26,86
36,University of Copenhagen,Denmark,1,93,383,50,27,85.9
37,Karolinska Institute,Sweden,1,40,-,32,60,85.8
38,Sorbonne University,France,3,89,309,92,18,85.7
39,University of North Carolina at Chapel Hill,USA,24,85,96,78,38,85.6
40,King's College London,United Kingdom,5,58,463,29,54,85.5
41,Dartmouth College,USA,25,54,18,102,286,85.4
42,Paris City University,France,4,240,956,58,21,85.3
43,Institut Polytechnique de Paris,France,5,100,9,226,344,85.2
44,Ludwig Maximilian University of Munich,Germany,1,59,249,54,52,85.1
45,University of Edinburgh,United Kingdom,6,55,452,61,49,85
46,Washington University in St. Louis,USA,26,133,166,36,47,85
47,Tsinghua University,China,1,521,60,-,23,84.9
48,University of Minnesota - Twin Cities,USA,27,75,308,120,30,84.8
49,University of British Columbia,Canada,3,107,593,85,32,84.7
50,University of Southern California,USA,28,314,130,28,76,84.6
51,Peking University,China,2,366,65,-,28,84.5
52,Vanderbilt University,USA,29,384,86,65,70,84.5
53,Pennsylvania State University,USA,30,294,161,57,53,84.4
54,"University of California, Davis",USA,31,105,546,62,51,84.3
55,Rockefeller University,USA,32,15,-,8,436,84.2
56,Free University of Berlin,Germany,2,72,1142,37,78,84.2
57,Rutgers University,USA,33,217,138,27,91,84.1
58,University of Melbourne,Australia,1,137,400,124,33,84
59,Ohio State University,USA,34,122,269,129,40,84
60,University of Manchester,United Kingdom,7,87,391,80,55,83.9
61,Humboldt University of Berlin,Germany,3,84,-,49,71,83.8
62,"Texas A&M University, College Station",USA,35,-,124,70,65,83.8
63,University of Chinese Academy of Sciences,China,3,-,1253,-,12,83.7
64,University of Zurich,Switzerland,2,92,588,55,74,83.6
65,Purdue University,USA,36,91,91,72,110,83.6
66,Brown University,USA,37,76,56,116,134,83.5
67,Hebrew University of Jerusalem,Israel,1,30,380,35,194,83.4
